Year,Country,GDP per capita,Population,Unemployment rate,Continent
2020,Malta,29592.57148,515332,4.357,Europe
2020,Marshall Islands,5545.600267,43413,,Oceania
2020,Mauritania,1836.292411,4498604,11.01,Africa
2020,Mauritius,9011.042884,1266014,8.627,Africa
2020,Mexico,8895.615216,125998302,4.441,North America
2020,"Micronesia, Fed. Sts.",3318.288049,112106,,Oceania
2020,Moldova,4375.778893,2635130,1.206,Europe
2020,Monaco,182537.3874,36922,,Europe
2020,Mongolia,4041.174146,3294335,6.594,Asia
2020,Montenegro,7677.371321,621306,17.878,Europe
2020,Morocco,3258.269043,36688772,11.203,Africa
2020,Mozambique,456.5819184,31178239,3.877,Africa
2020,Myanmar,1478.872786,53423198,1.476,Asia
2020,Namibia,4252.04172,2489098,20.966,Africa
2020,Nauru,10124.70062,12315,,Oceania
2020,Nepal,1139.189895,29348627,13.157,Asia
2020,Netherlands,52162.57012,17441500,3.819,Europe
2020,New Caledonia,34877.63563,271080,13.558,Oceania
2020,New Zealand,41785.69229,5090200,4.595,Oceania
2020,Nicaragua,1877.108555,6755895,6.167,North America
2020,Niger,564.8416623,24333639,0.62,Africa
2020,Nigeria,2074.613748,208327405,5.712,Africa
2020,North Macedonia,6659.596511,1856124,16.575,Europe
2020,Northern Mariana Islands,17302.92214,49587,,Oceania
2020,Norway,68340.0181,5379475,4.422,Europe
2020,Oman,16707.62301,4543399,2.94,Asia
2020,Pakistan,1322.314785,227196741,6.162,Asia
2020,Palau,14532.55832,17972,,Oceania
2020,Panama,13293.3332,4294396,14.183,North America
2020,Papua New Guinea,2446.084687,9749640,2.814,Oceania
2020,Paraguay,5353.348065,6618695,7.548,South America
2020,Peru,6047.475464,33304756,7.179,South America
2020,Philippines,3224.422811,112190977,2.522,Asia
2020,Poland,15816.81905,37899070,3.162,Europe
2020,Portugal,22242.40642,10297081,6.796,Europe
2020,Puerto Rico,31427.42911,3281557,8.89,North America
2020,Qatar,52315.66008,2760385,0.14,Asia
2020,Romania,13047.45666,19265250,5.035,Europe
2020,Russian Federation,10108.32715,145245148,5.589,Europe
2020,Rwanda,773.9318006,13146362,11.829,Africa
2020,Samoa,4042.722752,214929,10.214,Oceania
2020,San Marino,45321.48922,34007,,Europe
2020,Sao Tome and Principe,2155.265868,218641,15.183,Africa
2020,Saudi Arabia,20398.06143,35997107,7.45,Asia
2020,Senegal,1492.475903,16436120,3.405,Africa
2020,Serbia,7733.803469,6899126,9.011,Europe
2020,Seychelles,14041.47541,98462,,Africa
2020,Sierra Leone,493.4322406,8233970,3.485,Africa
2020,Singapore,61466.80368,5685807,4.1,Asia
2020,Sint Maarten (Dutch part),30642.57994,40350,,North America
2020,Slovak Republic,19553.26096,5458827,6.719,Europe
2020,Slovenia,25558.42905,2102419,4.974,Europe
2020,Solomon Islands,2222.462119,691191,0.852,Oceania
2020,Somalia,556.578066,16537016,19.35,Africa
2020,South Africa,5753.066494,58801927,24.339,Africa
2020,South Sudan,..,10606227,14.204,Africa
2020,Spain,26984.29628,47365655,15.532,Europe
2020,Sri Lanka,3846.174496,21919000,5.365,Asia
2020,St. Kitts and Nevis,18553.42392,47642,,North America
2020,St. Lucia,8356.678555,179237,25.225,North America
2020,St. Martin (French part),..,32553,,North America
2020,St. Vincent and the Grenadines,8306.360493,104632,20.563,North America
2020,Sudan,608.3325195,44440486,12.368,Africa
2020,Suriname,4796.533314,607065,8.726,South America
2020,Sweden,52837.90398,10353442,8.291,Europe
2020,Switzerland,85897.78433,8638167,4.817,Europe
2020,Syrian Arab Republic,537.0483709,20772595,15.176,Asia
2020,Tajikistan,852.3302021,9543207,7.176,Asia
2020,Tanzania,1104.164429,61704518,2.781,Africa
2020,Thailand,7001.850287,71475664,1.099,Asia
2020,Timor-Leste,1663.559629,1299995,2.792,Asia
2020,Togo,876.5429724,8442580,2.211,Africa
2020,Tonga,4605.970841,105254,2.675,Oceania
2020,Trinidad and Tobago,13705.90023,1518147,4.206,North America
2020,Tunisia,3493.897738,12161723,17.576,Africa
2020,Turkiye,8638.739133,83384680,13.148,Asia
2020,Turkmenistan,7330.366288,6250438,4.489,Asia
2020,Turks and Caicos Islands,17496.01747,44276,,North America
2020,Tuvalu,4674.911403,11069,,Oceania
2020,Uganda,846.7672026,44404611,3.914,Africa
2020,Ukraine,3751.737305,44207754,9.475,Europe
2020,United Arab Emirates,37629.17417,9287289,4.294,Asia
2020,United Kingdom,40217.00901,67081234,4.472,Europe
2020,United States,64317.39891,331526933,8.055,North America
2020,Uruguay,15651.00338,3429086,10.33,South America
2020,Uzbekistan,1759.307471,34232050,5.293,Asia
2020,Vanuatu,2917.756849,311685,4.046,Oceania
2020,"Venezuela, RB",..,28490453,7.53,South America
2020,Viet Nam,3586.347176,96648685,2.103,Asia
2020,Virgin Islands (U.S.),39411.04525,106290,14.836,North America
2020,West Bank and Gaza,3233.568638,4803269,25.895,Asia
2020,"Yemen, Rep.",626.3091689,32284046,17.972,Asia
2020,Zambia,958.2649005,18927715,6.032,Africa
2020,Zimbabwe,1372.696674,15669666,8.621,Africa
2021,Afghanistan,355.7778264,40099462,11.934,Asia
2021,Albania,6377.203096,2811666,12.473,Europe
2021,Algeria,4216.251285,44177969,13.607,Africa
2021,American Samoa,16653.71378,45035,,Oceania
2021,Andorra,42066.49052,79034,,Europe
2021,Angola,1927.474078,34503774,15.799,Africa
2021,Antigua and Barbuda,17178.54372,93219,,North America
2021,Argentina,10650.86046,45808747,8.736,South America
2021,Armenia,4972.783204,2790974,10.012,Asia
2021,Australia,60697.24544,25685412,5.116,Oceania
2021,Austria,53517.89045,8955797,6.459,Europe
2021,Azerbaijan,5408.045352,10137750,6.04,Asia
2021,"Bahamas, The",27871.37233,407906,11.694,North America
2021,Bahrain,26850.00339,1463265,1.551,Asia
2021,Bangladesh,2457.964466,169356251,5.815,Asia
2021,Barbados,17586.33001,281200,9.417,North America
2021,Belarus,7489.718947,9302585,3.9,Europe
2021,Belgium,51863.83116,11586195,6.264,Europe
2021,Belize,6060.968223,400031,10.157,North America
2021,Benin,1360.911474,12996895,1.694,Africa
2021,Bermuda,114274.622,63764,,North America
2021,Bhutan,3561.225287,777486,4.804,Asia
2021,Bolivia,3345.023002,12079472,5.089,South America
2021,Bosnia and Herzegovina,7237.274463,3270943,14.897,Europe
2021,Botswana,7244.158548,2588423,23.106,Africa
2021,Brazil,7794.880979,214326223,13.159,South America
2021,British Virgin Islands,..,31122,,North America
2021,Brunei Darussalam,31448.91275,445373,4.905,Asia
2021,Bulgaria,12219.34187,6877743,5.267,Europe
2021,Burkina Faso,888.8036109,22100683,5.11,Africa
2021,Burundi,221.1578034,12551213,1.11,Africa
2021,Cabo Verde,3489.973397,587925,13.906,Africa
2021,Cambodia,1625.235021,16589023,0.396,Asia
2021,Cameroon,1654.257037,27198628,3.951,Africa
2021,Canada,52496.84417,38239864,7.527,North America
2021,Cayman Islands,88940.15659,68136,,North America
2021,Central African Republic,461.137511,5457154,6.676,Africa
2021,Chad,685.690315,17179740,1.511,Africa
2021,Channel Islands,64502.53118,172683,6.609,Europe
2021,Chile,16185.91477,19493184,9.325,South America
2021,China,12617.5051,1412360000,4.55,Asia
2021,Colombia,6182.955944,51516562,13.898,South America
2021,Comoros,1577.470841,821625,5.857,Africa
2021,"Congo, Dem. Rep.",576.9747294,95894118,5.273,Africa
2021,"Congo, Rep.",2540.470024,5835806,22.077,Africa
2021,Costa Rica,12604.04884,5153957,15.139,North America
2021,Cote d'Ivoire,2649.173048,27478249,2.59,Africa
2021,Croatia,17943.41513,3878981,7.608,Europe
2021,Cuba,..,11256372,1.373,North America
2021,Curacao,17980.08869,152369,,North America
2021,Cyprus,32745.83984,1244188,7.513,Asia
2021,Czechia,26822.51419,10505772,2.803,Europe
2021,Denmark,69268.6518,5856733,5.043,Europe
2021,Djibouti,3062.551482,1105557,27.548,Africa
2021,Dominica,7668.158132,72412,,North America
2021,Dominican Republic,8476.749639,11117873,7.702,North America
2021,Ecuador,6036.447274,17797737,4.552,South America
2021,"Egypt, Arab Rep.",3886.722498,109262178,7.441,Africa
2021,El Salvador,4599.678786,6314167,4.327,North America
2021,Equatorial Guinea,7473.926061,1634466,9.194,Africa
2021,Eritrea,..,3620312,6.341,Africa
2021,Estonia,27698.47935,1330932,6.178,Europe
2021,Eswatini,4068.57379,1192271,35.707,Africa
2021,Ethiopia,925.0006976,120283026,3.935,Africa
2021,Faroe Islands,69108.20658,52889,,Europe
2021,Fiji,4656.051362,924610,4.678,Oceania
2021,Finland,53504.69365,5541017,7.606,Europe
2021,France,43671.30841,67764304,7.874,Europe
2021,French Polynesia,20230.24105,304032,12.492,Oceania
2021,Gabon,8635.797144,2341179,21.233,Africa
2021,"Gambia, The",762.9632317,2639916,6.206,Africa
2021,Georgia,5083.606955,3708610,11.794,Asia
2021,Germany,51426.75037,83196078,3.638,Europe
2021,Ghana,2422.085913,32833031,3.338,Africa
2021,Gibraltar,..,32669,,Europe
2021,Greece,20310.68248,10569207,14.657,Europe
2021,Greenland,57116.29577,56653,,North America
2021,Grenada,9010.5128,124610,,North America
2021,Guam,36555.76014,170534,6.001,Oceania
2021,Guatemala,5029.477555,17109746,2.174,North America
2021,Guinea,1189.175999,13531906,5.767,Africa
2021,Guinea-Bissau,836.8700248,2060721,3.628,Africa
2021,Guyana,9994.645704,804567,14.927,South America
2021,Haiti,1823.742224,11447569,15.253,North America
2021,Honduras,2738.21627,10278345,7.94,North America
2021,"Hong Kong SAR, China",49770.56424,7413100,5.174,Asia
2021,Hungary,18755.10235,9709891,4.045,Europe
2021,Iceland,69252.31124,372520,6.029,Europe
2021,India,2250.179018,1407563842,6.38,Asia
2021,Indonesia,4334.231454,273753191,3.827,Asia
